Поверхность ;Приложение ;Интент ;Тип сообщения
;;first_session;
SBERBOX;videoplayer;video;VOICE_FROM_USER
;;run_app;
SBOL;assistant;A0520.What_to_do_with_fraud;MESSAGE_FROM_USER
SBOL;assistant;A0520.What_to_do_with_fraud;MESSAGE_FROM_USER
;;first_session;
SBERBOX;youtube;video;VOICE_FROM_USER
SBERBOX;launcher;video;VOICE_FROM_USER
SBERBOX;launcher;axon;VOICE_FROM_USER
SBERBOX;launcher;geo_traffic;MESSAGE_FROM_USER
SBERBOX;launcher;video;VOICE_FROM_USER
SBERBOX;launcher;video;VOICE_FROM_USER
SBERBOX;launcher;axon;VOICE_FROM_USER
SBERBOX;launcher;axon;VOICE_FROM_USER
SBERBOX;launcher;axon;VOICE_FROM_USER
SBERBOX;assistant;axon;VOICE_FROM_USER
SBERBOX;launcher;video;VOICE_FROM_USER
SBERBOX;launcher;axon;VOICE_FROM_USER
SBERBOX;launcher;axon;VOICE_FROM_USER
SBERBOX;launcher;axon;VOICE_FROM_USER
SBERBOX;launcher;axon;VOICE_FROM_USER
SBERBOX;launcher;axon;VOICE_FROM_USER
SBERBOX;launcher;axon;VOICE_FROM_USER
SBERBOX;launcher;axon;VOICE_FROM_USER
SBERBOX;assistant;music;VOICE_FROM_USER
SBERBOX;music;music;VOICE_FROM_USER
SBERBOX;music;music;VOICE_FROM_USER
SBERBOX;music;music;VOICE_FROM_USER
SBERBOX;youtube;video;VOICE_FROM_USER
SBERBOX;youtube;video;VOICE_FROM_USER
SBERBOX;youtube;video;VOICE_FROM_USER
SBERBOX;youtube;video;VOICE_FROM_USER
SBERBOX;youtube;video;VOICE_FROM_USER
SBERBOX;youtube;video;VOICE_FROM_USER
SBOL;assistant;smartsearch;VOICE_FROM_USER
SBOL;assistant;axon;VOICE_FROM_USER
SBOL;assistant;A02.01608.The_schedule_of_loan_payments;VOICE_FROM_USER
;;;
SBERBOX;youtube;video;VOICE_FROM_USER
SBERBOX;youtube;video;VOICE_FROM_USER
SBERBOX;launcher;run_app;VOICE_FROM_USER
SBERBOX;youtube;video;VOICE_FROM_USER
SBERBOX;youtube;video;VOICE_FROM_USER
SBOL;assistant;axon;VOICE_FROM_USER
SBOL;assistant;axon;MESSAGE_FROM_USER
SBOL;assistant;axon;VOICE_FROM_USER
SBOL;assistant;axon;VOICE_FROM_USER
SBOL;assistant;axon;VOICE_FROM_USER
SBOL;assistant;axon;VOICE_FROM_USER
SBOL;assistant;axon;VOICE_FROM_USER
;;first_session;
SBOL;assistant;p2p;VOICE_FROM_USER
;;;
;;first_session;
SBERBOX;launcher;youtube_main_screen;VOICE_FROM_USER
SBERBOX;youtube;video;VOICE_FROM_USER
SBERBOX;launcher;youtube_main_screen;VOICE_FROM_USER
SBERBOX;youtube;video;VOICE_FROM_USER
;;first_session;
SBOL;assistant;A0501.How_to_check_your_SPASIBO_bonus_balance;MESSAGE_FROM_USER
;;first_session;
SBOL;assistant;character_choice;MESSAGE_FROM_USER
SBOL;assistant;run_app;MESSAGE_FROM_USER
SBOL;assistant;catalog_chat_sbol_main;MESSAGE_FROM_USER
SBOL;assistant;catalog_chat_sbol_main;MESSAGE_FROM_USER
SBOL;assistant;axon;VOICE_FROM_USER
SBOL;assistant;axon;MESSAGE_FROM_USER
SBOL;assistant;A0546.Change_restore_login_or_password_SBOL;MESSAGE_FROM_USER
SBOL;assistant;axon;VOICE_FROM_USER
SBOL;assistant;axon;VOICE_FROM_USER
SBOL;assistant;axon;VOICE_FROM_USER
SBOL;assistant;axon;VOICE_FROM_USER
SBOL;assistant;axon;VOICE_FROM_USER
SBOL;assistant;axon;VOICE_FROM_USER
SBOL;assistant;axon;VOICE_FROM_USER
SBOL;assistant;axon;VOICE_FROM_USER
SBOL;assistant;axon;VOICE_FROM_USER
;;first_session;
;;;
COMPANION;assistant;run_app;MESSAGE_FROM_USER
COMPANION;assistant;run_app;MESSAGE_FROM_USER
COMPANION;assistant;run_app;MESSAGE_FROM_USER
COMPANION;assistant;run_app;MESSAGE_FROM_USER
COMPANION;assistant;run_app;MESSAGE_FROM_USER
COMPANION;assistant;run_app;MESSAGE_FROM_USER
COMPANION;assistant;run_app;VOICE_FROM_USER
COMPANION;assistant;run_app;VOICE_FROM_USER
COMPANION;assistant;run_app;VOICE_FROM_USER
COMPANION;assistant;run_app;VOICE_FROM_USER
COMPANION;assistant;run_app;VOICE_FROM_USER
COMPANION;assistant;run_app;VOICE_FROM_USER
COMPANION;assistant;run_app;VOICE_FROM_USER
COMPANION;assistant;run_app;VOICE_FROM_USER
COMPANION;assistant;run_app;VOICE_FROM_USER
COMPANION;assistant;run_app;VOICE_FROM_USER
COMPANION;assistant;run_app;VOICE_FROM_USER
COMPANION;assistant;run_app;VOICE_FROM_USER
COMPANION;assistant;run_app;VOICE_FROM_USER
COMPANION;assistant;run_app;VOICE_FROM_USER
COMPANION;assistant;run_app;VOICE_FROM_USER
COMPANION;assistant;run_app;VOICE_FROM_USER
COMPANION;assistant;run_app;VOICE_FROM_USER
COMPANION;assistant;run_app;VOICE_FROM_USER
COMPANION;assistant;run_app;VOICE_FROM_USER
COMPANION;assistant;run_app;MESSAGE_FROM_USER
COMPANION;assistant;run_app;VOICE_FROM_USER
COMPANION;assistant;run_app;MESSAGE_FROM_USER
COMPANION;assistant;run_app;VOICE_FROM_USER
COMPANION;assistant;axon;VOICE_FROM_USER
COMPANION;assistant;axon;VOICE_FROM_USER
COMPANION;catalog;character_choice;VOICE_FROM_USER
COMPANION;assistant;run_app;MESSAGE_FROM_USER
COMPANION;assistant;run_app;MESSAGE_FROM_USER
COMPANION;assistant;run_app;MESSAGE_FROM_USER
COMPANION;assistant;run_app;VOICE_FROM_USER
COMPANION;assistant;run_app;VOICE_FROM_USER
COMPANION;assistant;run_app;VOICE_FROM_USER
COMPANION;assistant;run_app;VOICE_FROM_USER
COMPANION;assistant;run_app;VOICE_FROM_USER
COMPANION;assistant;run_app;VOICE_FROM_USER
COMPANION;assistant;run_app;VOICE_FROM_USER
COMPANION;assistant;run_app;VOICE_FROM_USER
COMPANION;assistant;run_app;MESSAGE_FROM_USER
COMPANION;assistant;run_app;VOICE_FROM_USER
COMPANION;assistant;run_app;VOICE_FROM_USER
COMPANION;assistant;run_app;VOICE_FROM_USER
COMPANION;assistant;run_app;VOICE_FROM_USER
COMPANION;assistant;run_app;MESSAGE_FROM_USER
COMPANION;assistant;hvatit_afina_587;MESSAGE_FROM_USER
COMPANION;assistant;character_choice;VOICE_FROM_USER
COMPANION;assistant;character_choice;VOICE_FROM_USER
COMPANION;assistant;character_choice;VOICE_FROM_USER
COMPANION;assistant;run_app;MESSAGE_FROM_USER
COMPANION;assistant;run_app;MESSAGE_FROM_USER
COMPANION;assistant;run_app;VOICE_FROM_USER
COMPANION;assistant;run_app;VOICE_FROM_USER
COMPANION;assistant;character_choice;VOICE_FROM_USER
COMPANION;assistant;character_choice;MESSAGE_FROM_USER
COMPANION;assistant;axon;MESSAGE_FROM_USER
COMPANION;assistant;replica;MESSAGE_FROM_USER
COMPANION;assistant;axon;MESSAGE_FROM_USER
COMPANION;assistant;character_choice;VOICE_FROM_USER
COMPANION;assistant;run_app;MESSAGE_FROM_USER
COMPANION;assistant;run_app;MESSAGE_FROM_USER
COMPANION;assistant;run_app;MESSAGE_FROM_USER
COMPANION;assistant;run_app;VOICE_FROM_USER
COMPANION;assistant;run_app;VOICE_FROM_USER
COMPANION;assistant;run_app;VOICE_FROM_USER
COMPANION;assistant;run_app;MESSAGE_FROM_USER
COMPANION;assistant;run_app;VOICE_FROM_USER
COMPANION;assistant;run_app;VOICE_FROM_USER
COMPANION;assistant;run_app;VOICE_FROM_USER
COMPANION;assistant;run_app;VOICE_FROM_USER
COMPANION;assistant;run_app;MESSAGE_FROM_USER
COMPANION;assistant;run_app;VOICE_FROM_USER
COMPANION;assistant;run_app;VOICE_FROM_USER
COMPANION;assistant;run_app;VOICE_FROM_USER
COMPANION;assistant;run_app;MESSAGE_FROM_USER
COMPANION;assistant;run_app;VOICE_FROM_USER
COMPANION;assistant;run_app;VOICE_FROM_USER
COMPANION;assistant;run_app;VOICE_FROM_USER
COMPANION;assistant;run_app;VOICE_FROM_USER
COMPANION;assistant;run_app;MESSAGE_FROM_USER
COMPANION;assistant;run_app;VOICE_FROM_USER
COMPANION;assistant;run_app;VOICE_FROM_USER
COMPANION;assistant;run_app;VOICE_FROM_USER
COMPANION;assistant;run_app;VOICE_FROM_USER
COMPANION;assistant;run_app;VOICE_FROM_USER
COMPANION;assistant;run_app;VOICE_FROM_USER
COMPANION;assistant;run_app;VOICE_FROM_USER
COMPANION;assistant;run_app;VOICE_FROM_USER
COMPANION;assistant;run_app;VOICE_FROM_USER
COMPANION;assistant;run_app;VOICE_FROM_USER
COMPANION;assistant;run_app;VOICE_FROM_USER
COMPANION;assistant;run_app;VOICE_FROM_USER
COMPANION;assistant;run_app;VOICE_FROM_USER
COMPANION;assistant;run_app;VOICE_FROM_USER
COMPANION;assistant;run_app;VOICE_FROM_USER
COMPANION;assistant;run_app;VOICE_FROM_USER
COMPANION;assistant;run_app;VOICE_FROM_USER
COMPANION;assistant;run_app;MESSAGE_FROM_USER
COMPANION;assistant;hvatit_afina_587;VOICE_FROM_USER
;;run_app;
SBOL;assistant;p2p;VOICE_FROM_USER
SBOL;assistant;p2p;MESSAGE_FROM_USER
;;;
SBOL;assistant;mobile_payment;VOICE_FROM_USER
SBOL;assistant;mobile_payment;MESSAGE_FROM_USER
;;;
;;first_session;
SBERBOX;launcher;video;VOICE_FROM_USER
SBERBOX;video;video;VOICE_FROM_USER
SBERBOX;video;video;VOICE_FROM_USER
;;first_session;
;;first_session;
;;first_session;
SBOL;assistant;A0501.How_to_check_your_SPASIBO_bonus_balance;MESSAGE_FROM_USER
SBOL;assistant;fines_gibdd;MESSAGE_FROM_USER
SBERBOX;launcher;radio;VOICE_FROM_USER
SBERBOX;launcher;video;VOICE_FROM_USER
SBERBOX;launcher;run_app;VOICE_FROM_USER
;;first_session;
SBOL;assistant;card_balance;MESSAGE_FROM_USER
;;first_session;
SBOL;assistant;p2p;VOICE_FROM_USER
SBOL;assistant;p2p;MESSAGE_FROM_USER
;;first_session;
;;;
SBOL;assistant;p2p;VOICE_FROM_USER
SBOL;assistant;p2p;VOICE_FROM_USER
SBOL;assistant;p2p;VOICE_FROM_USER
SBOL;assistant;p2p;VOICE_FROM_USER
SBOL;assistant;p2p;MESSAGE_FROM_USER
;;;
SBOL;assistant;p2p;VOICE_FROM_USER
SBOL;assistant;p2p;MESSAGE_FROM_USER
;;;
SBERBOX;launcher;bing;MESSAGE_FROM_USER
;;first_session;
SBOL;assistant;character_choice;MESSAGE_FROM_USER
SBOL;assistant;run_app;MESSAGE_FROM_USER
SBOL;assistant;catalog_chat_sbol_main;MESSAGE_FROM_USER
SBOL;assistant;catalog_chat_sbol_main;MESSAGE_FROM_USER
SBOL;assistant;character_choice;MESSAGE_FROM_USER
SBOL;assistant;character_choice;MESSAGE_FROM_USER
;;first_session;
SBERBOX;video;video;VOICE_FROM_USER
SBERBOX;video;video;VOICE_FROM_USER
SBERBOX;video;video;VOICE_FROM_USER
SBERBOX;launcher;video;VOICE_FROM_USER
SBERBOX;video;video;VOICE_FROM_USER
SBERBOX;video;axon;VOICE_FROM_USER
SBERBOX;assistant;video;VOICE_FROM_USER
SBOL;assistant;smartsearch;VOICE_FROM_USER
SBOL;assistant;p2p;MESSAGE_FROM_USER
SBOL;assistant;p2p;VOICE_FROM_USER
SBOL;assistant;p2p;MESSAGE_FROM_USER
SBOL;assistant;smartsearch;VOICE_FROM_USER
SBOL;assistant;axon;VOICE_FROM_USER
SBOL;assistant;axon;VOICE_FROM_USER
;;;
;;;
;;A0553.Something_about_a_bank;
STARGATE;youtube;video;VOICE_FROM_USER
STARGATE;youtube;video;MESSAGE_FROM_USER
SATELLITE;video;food;MESSAGE_FROM_USER
SATELLITE;video;item_selector;VOICE_FROM_USER
SATELLITE;video;video;VOICE_FROM_USER
;;first_session;
SBERBOX;youtube;video;VOICE_FROM_USER
;;first_session;
SBERBOX;youtube;video;VOICE_FROM_USER
SBERBOX;youtube;run_app;VOICE_FROM_USER
SBERBOX;youtube;video;VOICE_FROM_USER
SBERBOX;youtube;character_choice;VOICE_FROM_USER
SBERBOX;youtube;video;VOICE_FROM_USER
;;first_session;
SBERBOX;video;music;VOICE_FROM_USER
SBERBOX;music;video;VOICE_FROM_USER
;;first_session;
SBOL;assistant;catalog;MESSAGE_FROM_USER
SBERBOX;videoplayer;video;VOICE_FROM_USER
SBERBOX;videoplayer;video;VOICE_FROM_USER
SBERBOX;assistant;video;VOICE_FROM_USER
SBERBOX;videoplayer;video;VOICE_FROM_USER
SBERBOX;video;video;VOICE_FROM_USER
;;first_session;
;;first_session;
;;first_session;
;;first_session;
SBOL;assistant;p2p;VOICE_FROM_USER
SBOL;assistant;p2p;VOICE_FROM_USER
SBOL;assistant;p2p;VOICE_FROM_USER
SBOL;assistant;p2p;MESSAGE_FROM_USER
;;;
;;;
SBOL;assistant;A04.01653.Replenish_electronic_wallet;VOICE_FROM_USER
SBOL;assistant;A0505.What_can_I_do_with_SPASIBO_bonuses;MESSAGE_FROM_USER
;;first_session;
;;first_session;
SBOL;assistant;character_choice;MESSAGE_FROM_USER
;;first_session;
;;first_session;
SBERBOX;launcher;smart_home;VOICE_FROM_USER
SBERBOX;launcher;smart_home;VOICE_FROM_USER
;;first_session;
SBOL;assistant;card_balance;MESSAGE_FROM_USER
;;run_app;
SBERBOX;youtube;video;VOICE_FROM_USER
SBOL;assistant;axon;VOICE_FROM_USER
SBOL;assistant;axon;VOICE_FROM_USER
SBOL;assistant;replica;VOICE_FROM_USER
SBOL;assistant;replica;VOICE_FROM_USER
SBOL;assistant;replica;VOICE_FROM_USER
SBOL;assistant;replica;VOICE_FROM_USER
SBOL;assistant;replica;VOICE_FROM_USER
SBOL;assistant;replica;VOICE_FROM_USER
SBOL;assistant;axon;VOICE_FROM_USER
;;first_session;
SBOL;assistant;p2p;VOICE_FROM_USER
SBOL;assistant;p2p;VOICE_FROM_USER
SBOL;assistant;p2p;VOICE_FROM_USER
SBOL;assistant;axon;VOICE_FROM_USER
SBOL;assistant;axon;VOICE_FROM_USER
;;;
;;;
SBOL;assistant;A0521.How_to_get_a_loan;MESSAGE_FROM_USER
SBOL;assistant;run_app;MESSAGE_FROM_USER
SBOL;assistant;A01.02628.I_want_to_apply_for_a_consumer_loan;MESSAGE_FROM_USER
SBERBOX;launcher;music;VOICE_FROM_USER
SBERBOX;music;music;VOICE_FROM_USER
SBERBOX;music;music;VOICE_FROM_USER
SBERBOX;music;player_next;VOICE_FROM_USER
SBERBOX;music;music;VOICE_FROM_USER
SBERBOX;music;music;VOICE_FROM_USER
SBERBOX;music;player_to_start;VOICE_FROM_USER
SBERBOX;music;player_prev;VOICE_FROM_USER
SBERBOX;music;music;VOICE_FROM_USER
SBERBOX;music;player_like;VOICE_FROM_USER
SBERBOX;music;video;VOICE_FROM_USER
SBERBOX;music;music;VOICE_FROM_USER
SBERBOX;music;music;VOICE_FROM_USER
SBERBOX;music;music;VOICE_FROM_USER
SBERBOX;music;player_like;VOICE_FROM_USER
SBERBOX;music;music;VOICE_FROM_USER
;;first_session;
SBOL;assistant;p2p;VOICE_FROM_USER
SBOL;assistant;p2p;VOICE_FROM_USER
SBOL;assistant;axon;VOICE_FROM_USER
SBOL;assistant;axon;VOICE_FROM_USER
SBOL;assistant;axon;MESSAGE_FROM_USER
;;;
SBOL;assistant;A0538.Find_out_the_detail_of_card;VOICE_FROM_USER
